title,author,unit,degree,year,abstract,keywords,directions_str,source_keyword,source_url,source_site
基于Web的化工安全语音合成平台的研究与开发,徐梦洁,合肥学院,硕士,2023,,化工安全；语音合成；音频工具；Web开发技术,其他,化工安全,,
基于尺度不变性的化工安全标志检测方法研究,冉烁依,合肥学院,硕士,2023,,,其他,化工安全,,
基于Transformer的化工安全标志检测方法研究与应用,余豪,合肥学院,硕士,2023,,,其他,化工安全,,
重大化工安全事故应急管理机制研究,马国乐,沈阳化工大学,硕士,2022,,,应急处置,化工安全,,
面向化工安全领域的语义检索方法研究,柏宇婕,北京化工大学,硕士,2022,,,其他,化工安全,,
基于元宇宙的化工安全生产建模研究,赵保中,淮阴工学院,硕士,2024,,,其他,化工安全,,
基于文本与视觉双模态结合的化工安全风险识别与分析,黄建辉,中南大学,硕士,2024,,,其他,化工安全,,
面向化工安全评估的复杂网络建模、分析技术研究,陆逸舟,常州大学,硕士,2021,,,其他,化工安全,,
化工安全生产培训质量的评估模型构建研究,丁添奕,杭州电子科技大学,硕士,2025,,,其他,化工安全,,
基于HAZOP报告的化工安全知识图谱问答系统构建,汪港,北京化工大学,硕士,2025,,,风险评价方法,化工安全,,
基于机器视觉的化工安全小目标识别技术研究,王浩,淮阴工学院,硕士,2025,,,其他,化工安全,,
基于知识图谱的化工安全领域智能分析系统研究,吴剑辉,淮阴工学院,硕士,2025,,,其他,化工安全,,
石油化工安全监督检查智能支持系统研发,赵鹏飞,常州大学,硕士,2024,,,其他,化工安全,,
基于耗散理论的区域化工安全脆弱性预警研究,江蕾,南京工业大学,硕士,2024,,,其他,化工安全,,
化工安全盲区的考察与研究,刘天齐,华东理工大学,硕士,2017,,化工安全；盲区,其他,化工安全,,
基于机器学习实现化工安全相关故障的检测与诊断,陈佳辉,郑州大学,硕士,2023,,,其他,化工安全,,
YA化工安全生产责任管理优化研究,高超,南京邮电大学,硕士,2023,,,其他,化工安全,,
基于图神经网络的石油化工安全知识图谱补全技术研究,曹鑫,北京化工大学,硕士,2025,,,其他,化工安全,,
面向化工安全领域的命名实体识别及关系抽取研究,彭兰斐,北京化工大学,硕士,2022,,,其他,化工安全,,
自然语言处理技术在化工安全分析中的应用,冯夏源,四川大学,硕士,2022,,,其他,化工安全,,
面向化工安全知识图谱中的实体抽取和关系抽取研究,任航玉,辽宁工业大学,硕士,2024,,,其他,化工安全,,
面向化工安全生产的安全帽与异物入侵检测方法研究,王达彤,山东大学,硕士,2020,,,其他,化工安全,,
基于改进AHP-DEMATEL的永银化工安全评价及应用,雷震,河南理工大学,硕士,2021,,,风险评价方法,化工安全,,
基于常见化工安全事故调查报告的事理图谱构建方法研究,吴彤,合肥学院,硕士,2023,,,事故分析,化工安全,,
